dimension,workgroup-size,performance
512,4,8486
512,8,6786
512,16,5526
512,32,6597
512,64,10137
512,128,23941
1024,4,21509
1024,8,15497
1024,16,13075
1024,32,11000
1024,64,13774
1024,128,27619
1792,4,111545
1792,8,71221
1792,16,53420
1792,32,39356
1792,56,28739
1792,64,31560
1792,112,30050
1792,128,33821
2048,4,140284
2048,8,89771
2048,16,65596
2048,32,42599
2048,64,33979
2048,128,36814
3584,4,842562
3584,8,505060
3584,16,347384
3584,32,204322
3584,56,181406
3584,64,145371
3584,112,129954
3584,128,143734
